"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
385.593383209828 957.174291836368 539.263401430419 572.218799033341 861.137379646556 574.252437365984 684.197394550269 542.92570517748 473.541083389392 465.172335465283 537.96947333608 470.438313194778 545.6171475548 559.15764799229 513.075353995375 504.197993213135 517.330270505068 488.485446647856 462.225518059358 492.560099659712
545.581736104675 861.945354769556 669.294631367626 592.33889916107 453.73453057861 641.728222201868 1029.25416836945 453.191695599509 587.916741124442 550.068605347465 497.729749395477 631.826660972897 582.221661609985 504.261733813795 515.72110012057 506.374566218375 485.824195775853 482.736751805173 494.527373704787 489.733814778752
1415.72298580457 706.110084221075 304.980080966723 562.409648735436 614.762788355971 481.767312694696 908.67796179949 538.781350128686 496.097256841706 431.666923897031 485.737622842927 576.699930582029 484.675876183491 529.93748912487 477.968611031977 535.390662135132 478.922758370597 460.994115893728 467.0460542704 476.212385590131
476.239065948788 283.80891393436 436.511704289796 887.370147405403 494.33512970023 765.691802600981 532.119879228027 437.078490067272 639.087182324199 589.819297437254 492.099480379321 609.217707988499 462.586083559927 515.160341418163 513.618616077314 500.800104947584 477.658400428524 458.134169466751 481.002769504894 480.581824202209
655.179341481624 402.96442669425 437.233644246387 496.464886834917 539.069643161581 899.487183671132 661.01786094244 594.890175079366 461.149347850772 598.428243950398 564.618464953415 439.160215931546 536.737190681882 486.452169556558 516.720167838691 522.299362351377 454.99569915841 482.735276240857 493.972756139587 473.934144071506
499.97537842454 1052.87677336252 836.592864040454 603.680726834967 1127.04209269603 503.041591703525 372.176611108898 507.457413285181 491.405622613192 617.474345855105 414.980030651949 494.792332413454 535.070094937391 512.683281137413 490.396485134573 453.981580871305 508.190126913679 491.648388584233 470.366959960247 486.973510175838
629.118454849507 1607.66110082218 773.247886478865 996.23723659415 662.469013914094 518.236036553026 586.477856851116 513.017000631566 448.090742961436 591.853366921222 489.183536059922 498.098027670459 499.333577579794 517.59297229252 480.551288000924 471.103795730227 495.966909249118 463.095820204526 471.00553457182 469.89017989266
928.913739119406 379.573114567743 765.430232481884 774.503690930962 957.756803463157 418.805576879949 599.954832958567 683.889615854568 619.572806916355 574.497944622404 506.758110802119 528.74332552615 554.237752219991 551.913438794943 491.281356701672 498.596196700321 472.794722424696 482.540771265155 457.203179620846 465.07864117322
1320.43505515059 1110.55660239742 509.740724262134 695.493350943827 392.518069780399 794.636790858736 1279.70592318415 760.339671469438 633.660305165228 553.58838890051 600.473386227062 504.703269692594 492.23619597505 488.436942255977 497.729244326887 506.942863896624 497.02480440415 491.228262980615 487.981628676245 462.533208472552
1021.61735575292 555.152785532102 641.935949072322 572.450599575332 535.033023054943 892.812663403404 756.842558851881 347.618849920696 544.124450246384 564.155288961298 567.739755043444 436.63616672422 476.040263319032 555.404653163569 519.874581067628 527.975757730943 509.800014511974 468.948805017487 473.640840308326 481.059442701521
1411.60092118832 535.163750281394 1122.27090415189 594.789526068045 485.542208920048 539.433845406813 554.029268455772 448.447068352806 655.979745125659 371.131206466109 604.393407205343 624.960637695596 440.364402107579 505.621573915966 478.335061018491 493.017117773859 482.177074046948 470.28604218353 475.205114604393 471.319786440369
984.722362680568 1595.24538128029 985.652406209059 487.45168380747 481.129570912097 827.894975386794 668.79113457177 453.762649513911 702.240373426078 671.785600420943 497.834977458397 532.020795640828 525.719575936107 501.050307737758 492.521569150418 538.58451646482 487.219536017296 488.486126473281 480.003502206261 475.38954675824
699.496677555164 1383.00556949215 789.123448244877 581.855154548189 763.573482893607 569.364742077703 627.258923507063 464.652411287332 391.38282494181 626.64519932931 505.906202468812 523.134902274739 527.280949460716 519.348417346242 478.82222656723 497.971327629044 493.98655630792 481.719650150645 459.795720648073 471.415304071177
317.021252547084 953.876002764907 910.05893310792 1001.73190391885 1461.65632962662 718.855365641417 633.539749505871 597.682820124497 677.49475853278 575.005302829341 567.528455372137 552.694167651747 517.467348662708 480.311189340618 463.813870309795 457.930570081271 525.020103796618 499.504844532608 471.478848262973 472.517857402044
709.786167250621 799.222928996545 1024.91540675193 501.775256848043 549.751608000957 530.541048613802 656.278547386559 494.999394446054 673.306460948141 666.698667223493 594.684320616268 472.687788875662 556.769829464581 550.215626296911 427.611601388656 480.977237806143 469.656314320333 465.546948742494 464.98644466654 448.524377908838
728.143481602834 522.329897797907 432.391439613546 471.533082405614 668.016816899634 554.984249100935 798.171797900139 495.989162071947 475.057867659559 558.785346048756 568.306368218197 474.984719753196 529.195638665759 585.312747980459 472.336140157924 490.038821303525 494.554346417562 490.821392625113 448.137244113319 477.848203996873
598.87113735832 1312.04576986388 808.612575531522 644.749911698309 598.796155203506 484.01145552198 615.707419857143 646.573084111165 527.448382806693 482.896348063631 520.417288279825 637.586727836226 533.804439921194 466.288127529061 476.627864997648 470.9504367966 468.437333497863 489.102809762364 483.054934123945 457.984203610083
441.517711702994 713.272300614844 705.637206672587 678.793218091946 577.357778472872 690.718242020623 627.730128996854 579.01584238851 701.525250446337 515.038236501129 500.029364431901 528.408027960693 490.849620449048 473.558798270631 468.078623254777 518.206819582185 460.610424049744 496.81156364459 471.723545152684 481.232395439584
569.222936156199 1175.07328450976 1165.76754216822 1145.82445744589 635.586721192876 847.617671420098 510.316939612313 739.020112674918 536.419804262961 552.490614805073 593.953548915132 539.645706313858 557.42096146757 469.184336697538 461.912244885741 510.184896248011 499.878146133983 498.570992451364 479.193662746815 473.764638660435
328.703416899323 3812.10984273285 378.754179373531 385.528319592918 699.155540762937 441.352608906077 611.187606621866 581.295169373637 626.837553023735 582.312311633774 510.614760938517 553.916943540489 533.30077498733 487.639407602707 510.240668843289 527.396206055931 524.242968612321 495.290707589149 482.927802506897 468.468759653819
725.201594774948 750.09047732012 1695.49291346089 524.346577911593 575.431264878081 781.849475799756 465.05639737671 615.944097781426 645.997484437458 727.691436896473 555.594765547287 484.063286167703 456.387761542175 492.40286565201 472.549220409198 476.327934914564 496.245726337613 483.830297189417 482.448791203278 471.9734930746
