"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
904.038347079329 569.521845571652 662.088137136837 525.908333447784 790.030367258515 312.087128658548 466.485569621171 634.280866171517 671.273394762434 476.635385634083 505.316821706157 440.664610741245 493.425608945953 522.36579038401 483.760898185487 508.64325810156 529.04710535269 456.388829325505 482.462430562546 474.90730687224
696.096255691157 1017.45280719207 477.276625672456 1037.74426176568 851.568748316335 706.964236431022 602.630698122318 659.957103770732 652.844454707976 681.585354050913 494.462049042395 501.443192771913 495.923940434364 502.128794149344 573.549649114995 473.098721546227 483.472330804761 468.502217914149 468.684150863863 481.514224853683
370.334357186695 825.816914180621 689.9644968338 568.961686526459 476.590298846227 554.409317300648 768.528693941468 495.692000118281 482.773250712632 672.873522935535 503.002570869786 554.384636781873 545.73545603244 581.222058551206 500.502549394895 517.143474852692 482.858803686564 450.614441739764 479.063078457111 470.984313393639
748.792116349579 692.732143770881 1066.57854714006 576.339552718168 907.842521014617 576.595230818899 513.060054251692 784.542783229666 560.669591010667 689.272853433689 701.632683187632 533.065846967624 530.577680650183 524.298808255709 494.029071446248 500.503750014155 485.436337474464 460.139831288511 483.731616409675 446.964119231565
1362.14972145765 1200.19903212292 902.859532265489 984.780989133058 420.434576211227 598.663925751192 445.163180337568 582.716715189524 510.984081474172 492.103903185929 516.625500705678 598.798584120246 549.89634725583 484.871875463633 448.749352723674 486.324318381901 500.363819714162 475.4887018363 490.334011206779 466.220730144059
1375.86977136158 741.340093389973 559.524787603902 729.175274719003 609.690034014418 764.596333616429 617.969566460997 509.884354468146 547.239447014201 576.480548590467 492.819917172702 513.713020137907 562.655887275706 557.914919500069 485.301363948904 474.858682448442 486.075768410565 490.889850442799 495.422972805538 484.139639376494
867.483892062039 1273.55195867679 476.064264849508 529.413447293867 499.923541816854 485.645189909152 770.706930520497 719.996976426632 593.588332659192 562.338631481772 465.899504494186 521.442417515058 519.046327988537 484.598643659378 510.981088849849 495.200625121358 496.999996876094 492.818869905571 461.922164233782 494.901572374913
351.814505557801 1057.8839542231 965.48522439025 744.46907009362 498.672109647801 635.894134479462 534.293552957726 602.546886695113 678.785251131744 509.118167876556 530.263435921498 559.719784919901 514.474020975712 559.598067331173 538.559323231258 528.156827499641 474.254400099662 486.102189108349 457.32109050614 491.624013742565
1651.2411965216 1018.29757753771 640.657267795046 1466.24001590191 647.195293843283 691.016891804719 635.642714363333 489.390309161468 655.12778700744 568.069291948076 492.265232498816 607.590594570507 557.696581293659 529.563660678053 491.457720699583 463.189625251905 469.80610876389 504.230068654845 464.154443813439 466.415504906411
388.356666850052 767.754467779455 460.971675878355 519.961162461972 705.448023496147 729.029361300279 595.309618905738 688.935954634199 562.428767698689 524.042995741931 615.453618191037 478.435424809817 603.859913709189 488.60295067645 501.0114773022 469.729440052866 485.604760902987 476.711014249315 461.510566588146 481.851068958797
