"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
13159.0639335908 6201.27038024932 3026.47211157489 4872.93060211204 3840.35854429877 2149.27880048129 2235.52547211721 743.550316074722 834.024446442314 833.411051325099 734.858660640369 365.751395541266 183.015215961901 297.353852793554 185.699793099882 108.343625107776 106.422903999854 94.9450874320199 97.6234015167046 80.9722070295073
8532.47180810787 8082.83019103898 6492.43141772055 2118.38276784348 4369.40793280918 2861.61710800576 1997.40009485744 1673.7693250649 980.526640663971 706.233057788854 540.970840773123 339.91308124618 220.496172922065 240.101179765259 162.91831450999 119.884473536401 133.941197161675 109.531653853626 98.805861003551 79.0128633877624
8224.04480971638 12155.4767789841 5602.04546587313 6034.25932835557 2934.68485340289 1414.83548240281 1995.25393113623 996.056220334824 937.268790930983 674.407952816855 461.967340182468 274.781481108265 318.75461448822 236.205700594791 194.423678487946 194.741025268299 128.555971882664 103.679444155846 85.0383270379007 80.716390030628
11558.3362166418 6594.19510453226 6957.47884180379 6296.44104066378 2348.74959212766 2368.2895852912 2171.21766530862 1571.32094987909 968.741439028212 424.578834212085 718.333635656535 281.352629516342 279.741880324437 228.669611640739 157.583171456531 125.788695671607 128.667577018107 100.110292877702 64.2155479045278 94.2888612937007
9610.28470006812 6921.76199731104 8483.03932843447 3571.06239717507 2566.73388365194 2053.58679211756 1616.5999374648 1002.71177998786 1002.15658260121 754.174755826552 457.472857532381 402.250675445103 250.340361269926 213.541831664757 138.600998979836 179.084533612699 72.1591148395269 94.1175730087749 98.1650108899848 71.3881849719779
7445.0950003763 8402.63086888806 5015.62150380687 4592.43237788088 4825.37462388958 2098.01151426331 1377.53512085377 1444.3481347338 1038.85941503036 586.913935612273 302.307268283443 503.662766901942 227.632813682831 300.699932141771 171.033387535411 177.231386837351 127.339217656819 108.608293224618 91.0029482722517 80.6832280741158
13324.4085816711 5307.84802809664 8879.80307991498 3878.94055808167 2424.93731753616 2295.98376060916 2223.60992453073 1227.34206917012 765.012421729245 648.942387970583 604.90675993269 261.946831416665 284.201934207105 219.9786021091 143.674765065884 104.102228126914 150.88254310343 74.1351246550696 95.1843346990247 65.0762254931259
9674.03277354599 5873.3914469245 4520.15540117379 4740.36701906649 2073.56478045021 2861.72419844157 1777.59278292542 1666.36733891463 957.309342373266 770.468557353208 544.443989996769 339.36664107054 244.170900229507 278.33165144619 172.634836291366 201.402553241225 144.616248280182 110.58866709383 79.2935528169764 96.2370128826651
9967.05051549151 6418.26121405281 6584.19171481718 5063.6530403824 1341.89119972789 2419.04156390153 2525.0384245237 1546.06364218972 1181.52931022541 470.825302497055 520.828467747381 301.534861851108 232.315652080331 240.796150922699 181.666434584189 152.841589794247 116.54364482153 124.426455801202 87.3758819091899 90.0527125170979
12629.5306609111 8592.62284814244 4037.35805294587 3881.23818347784 2510.04299862038 1869.95619797251 1871.67441547157 1565.32270940696 809.610323764639 755.721807425918 555.750359040355 318.276772135508 414.941140330151 258.213371820309 207.500840165882 180.636563105639 115.015477153434 77.5361590251151 79.4921603497011 62.9487214972987
10469.3147906151 10799.6344372822 4151.89880655395 3549.80744578119 3001.38913161011 1962.68209927822 1288.79061086816 1203.53740994388 723.462138572443 496.39514713045 594.503469209801 338.431757417435 295.361498144989 119.06296826223 161.945939453739 121.594160534831 98.4803326162269 81.5174796945973 57.2452551684649 62.1403708092298
12243.4223135435 5765.22714922197 10883.6901978299 5278.31755883776 2406.30071638579 3121.76540657653 1180.72925792494 1180.95472541643 1051.35051664981 652.940982383484 435.764282671814 237.630316704357 299.676451925741 261.047066302165 187.31219091708 134.454758668291 121.993373624893 79.7144926536387 71.4870048394309 73.6569301028728
11095.3972028484 7552.85499002034 6683.64152315118 4380.23218534936 3213.40093513453 2693.85075239718 2009.08344311692 1098.43319693899 410.754839698469 975.777657695549 509.295710392188 362.916863964877 270.000548665505 213.927992159777 113.93661848326 208.529113000862 146.813320521365 88.5382054550619 70.9595854650677 69.0671351481478
12380.0578706372 7173.95537858602 5017.50097584487 5106.71775656005 2931.9023177881 4262.84147424405 1317.5473556096 1084.63557341297 1015.12326508362 624.242151847672 402.060022346618 371.711290110618 245.467619761105 185.563446982791 165.957638986213 183.338407885144 106.837373003408 80.8116948792417 81.6711560320634 83.0408306474535
8021.23548217979 9436.3404952594 5442.13144136643 4912.64090552315 3534.11256082283 3413.58871913319 1914.86625104092 969.0202780221 1599.07174445808 686.243062382668 501.772050352699 427.333758862303 240.446117371595 257.300765316273 147.491079512994 130.146264813351 106.693309541089 84.7198203987356 73.8934482344294 83.6659140182556
10212.8332868776 5208.27711634194 3430.23108414132 4373.25766932897 2967.16620410752 2467.6417919849 1464.05133780969 1067.45321428252 1076.47927616044 510.808379988846 528.931190404676 344.39787189888 263.594649730354 216.746997352329 199.29755845125 142.09131273063 135.386595459158 86.2990806669208 96.3733407844322 75.2933877236941
10388.9687599312 4931.91277991943 5404.9346456881 5246.04837315883 4073.66261637968 3951.37194064677 1817.92552515316 1439.96284341096 958.015327676765 632.181162892552 433.810994380227 215.567154344216 270.040988400127 257.050005266167 197.599225152459 121.051422820543 98.6370498811624 90.9264100346476 89.7282832086917 83.745754924224
